node,psi,pi,parent,depth,subtree_hub,degree,pos_x,pos_y,pos_tree_x,pos_tree_y
0,0.34368789161009977,0.11812136683939568,7,1,7,5,0.7066296369017266,0.722793344764912,0.5,2.0
1,0.5765460229258795,0.3324053165516488,7,1,7,8,0.5683323273228736,-0.8127379632551824,1.5,2.0
2,0.5406037559878109,0.29225242098812854,7,1,7,7,-0.8272296365408278,-0.635750883009726,2.5,2.0
3,0.7333003365166705,0.5377293835354622,7,1,7,10,0.07783273313925597,0.6499636451601645,3.5,2.0
4,0.6054292402445701,0.3665445649431174,7,1,7,8,0.29979847464884746,-0.697462632747228,4.5,2.0
5,0.6770671442783088,0.45841991786118425,7,1,7,9,0.37853389198969195,0.0896496853915695,5.5,2.0
6,0.5664571602790216,0.3208737144313732,7,1,7,8,0.38347616680394275,0.6650578357034108,6.5,2.0
7,1.0,1.0,-1,0,7,15,-0.13214135861999207,-0.13744161639415975,8.5,0.0
8,0.6670555158173511,0.44496306118235235,7,1,7,9,-0.8030237134383775,-0.33860722607723737,7.5,2.0
9,0.6762993560173186,0.4573808189494399,12,2,7,10,0.6388405794292157,-0.06803017532932526,9.5,4.0
10,0.5549221902600158,0.30793863724297316,12,2,7,8,0.9627965903624762,0.01820028054848135,10.5,4.0
11,0.5716928956871694,0.3268327669791808,7,1,7,8,-0.23740304174387816,0.6790697473649847,8.5,2.0
12,0.8346247619338771,0.6965984932331811,7,1,7,12,-0.2431232801278385,-0.4878321846880169,10.5,2.0
13,0.41381097094739255,0.17123951967642376,12,2,7,6,-0.650670239778373,0.23713590315740227,11.5,4.0
14,0.5611964387451429,0.31494144286023096,7,1,7,8,0.12838758241708462,-0.5462528282318483,12.5,2.0
15,0.4493082603677758,0.20187791283471704,7,1,7,6,-1.0,0.5831696105723658,13.5,2.0
16,0.5421966547414998,0.29397721241287317,17,2,7,9,-0.07415469949777284,0.12994337326920558,14.5,4.0
17,0.8551593547126712,0.7312975219525922,7,1,7,12,-0.5416505251956636,-0.056255936042395545,14.5,2.0
18,0.7411958278079649,0.5493712551599343,7,1,7,10,-0.12389832878105926,0.309850483710078,15.5,2.0
19,0.70832319130198,0.5017217433362213,7,1,7,10,0.488666840708668,-0.3044624638674546,16.5,2.0
